Transportation expense,Distance from Residence to Work,Service time,Years until retirement,Date of Birth,Disciplinary failure,Number of children,Social drinker,Social smoker,Number of pets,Weight,Height,Absenteeism time in hours,Day of the week_Monday,Day of the week_Saturday,Day of the week_Thursday,Day of the week_Tuesday,Day of the week_Wednesday,Seasons_Spring,Seasons_Summer,Seasons_Winter,Education_2,Education_3,Education_4,bmi_category_Obesity Class I,bmi_category_Obesity Class II,bmi_category_Overweight,Month_sin,Month_cos,Reason_for_abs_freq
289,36,13,32,1992-08-15,No,2,Y,No,1,90,172,4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.04125
118,13,18,15,1975-09-02,Yes,1,Y,No,0,98,178,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.05375
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,2,False,False,False,False,True,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
279,5,14,26,1986-07-25,No,2,Yes,Yes,0,68,168,4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.01875
289,36,13,32,1992-08-15,No,2,Yes,No,1,90,172,2,False,False,True,False,False,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,8,False,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0475
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
155,12,14,31,1991-09-10,No,2,Yes,No,0,-,196,40,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.05
235,11,14,28,1988-06-01,No,1,No,No,1,88,172,8,True,False,False,False,False,True,False,False,False,True,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0475
260,50,11,29,1989-02-20,No,4,Y,No,0,65,168,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
260,50,11,29,1989-02-20,No,4,Y,No,0,65,168,8,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,8,False,False,False,False,True,False,True,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.0325
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,1,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0325
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1.0,6.123233995736766e-17,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,4,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
246,25,16,24,1984-10-01,No,0,Yes,No,0,67,170,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02375
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,-,170,8,True,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0075
189,29,13,32,1992-05-24,No,2,No,No,2,69,167,8,False,False,True,False,False,False,True,False,False,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0325
248,25,14,18,1978-02-16,No,2,No,No,1,86,165,2,False,False,False,False,True,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
330,16,4,37,1997-01-19,No,0,No,No,0,84,182,8,False,False,False,False,True,False,True,False,True,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.03125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.0325
361,52,3,-1,1997-07-08,No,1,Y,No,4,80,172,40,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.06875
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.14
289,36,13,-1,1992-08-15,No,2,Yes,No,1,90,172,8,True,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,7,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.03875
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,7,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
289,36,13,32,1992-08-15,No,2,Yes,No,1,90,172,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
157,27,6,36,1996-05-22,No,0,Yes,Yes,0,-,185,4,False,False,False,False,True,False,True,False,False,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.14
289,36,13,32,1992-08-15,No,2,Yes,No,1,90,172,8,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,8,True,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
235,29,12,17,1977-04-28,No,1,No,Yes,5,88,163,8,False,False,True,False,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
235,11,14,28,1988-06-01,No,1,No,No,1,88,172,4,False,False,True,False,False,False,True,False,False,True,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.26125
235,29,12,17,1977-04-28,No,1,No,Yes,5,88,163,8,True,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.26125
289,36,13,32,1992-08-15,No,2,Yes,No,1,90,172,8,False,False,False,True,False,False,True,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.00375
291,50,12,33,1993-04-25,No,0,Y,No,0,65,169,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.0325
235,29,12,17,1977-04-28,No,1,No,Yes,5,88,163,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.14
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
184,42,7,38,1998-12-19,No,0,No,No,0,58,167,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,4,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
235,20,-,22,1982-06-19,No,1,Yes,No,0,106,167,8,False,False,False,True,False,True,False,False,False,False,False,False,True,False,-1.0,-1.8369701987210297e-16,0.05
155,12,14,31,1991-09-10,No,2,Y,No,0,95,196,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
155,12,14,31,1991-09-10,No,2,Yes,No,0,95,196,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,-,172,3,True,False,False,False,False,False,True,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
291,31,12,25,1985-05-20,No,1,Yes,No,1,73,171,4,False,False,True,False,False,False,True,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,-,168,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.0475
291,31,12,25,1985-05-20,No,1,Yes,No,1,73,171,32,True,False,False,False,False,True,False,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.02375
260,50,11,29,1989-02-20,Yes,4,Y,No,0,65,168,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.05375
225,26,9,37,1997-01-01,Yes,1,No,No,2,69,169,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.05375
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
289,36,13,32,1992-08-15,Yes,2,Yes,No,1,90,172,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.05375
118,13,18,15,1975-09-02,Yes,1,Yes,No,0,98,178,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.05375
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.02625
179,51,-,27,1987-04-08,No,0,Yes,No,0,89,170,3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
369,17,12,34,1994-06-26,Yes,3,Yes,No,0,70,169,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.05375
248,25,14,18,1978-02-16,No,2,No,No,1,86,165,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1.0,6.123233995736766e-17,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,3,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
118,13,18,15,1975-09-02,Yes,1,Yes,No,0,98,178,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.05375
179,26,9,35,1995-08-01,No,0,No,No,0,56,171,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,3,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
248,25,14,18,1978-02-16,No,2,No,No,1,86,165,2,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
291,31,12,25,1985-05-20,No,1,Yes,No,1,73,171,5,False,False,True,False,False,True,False,False,False,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,8,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,16,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.05
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,16,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
291,31,12,25,1985-05-20,No,1,Y,No,1,73,171,8,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.02375
291,31,12,25,1985-05-20,No,1,Y,No,1,73,171,8,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
225,26,9,-1,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.14
289,36,13,32,1992-08-15,No,2,Y,No,1,90,172,8,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.04125
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.14
179,51,18,27,1987-04-08,No,0,Yes,No,0,89,170,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.26125
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,8,False,False,True,False,False,True,False,False,False,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.06875
179,22,17,25,1985-06-16,No,2,No,Yes,0,63,170,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.0075
291,31,12,-1,1985-05-20,No,1,Yes,No,1,73,171,5,False,False,True,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.26125
155,12,14,31,1991-09-10,No,2,Y,No,0,95,196,32,True,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.03125
189,29,13,32,1992-05-24,No,2,No,No,2,69,167,8,True,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.0475
291,31,-,25,1985-05-20,No,1,Yes,No,1,73,171,40,True,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.02375
225,26,9,37,1997-08-03,No,1,No,No,2,-,169,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
155,12,14,31,1991-09-10,No,2,Yes,No,0,95,196,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.01
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
179,22,17,25,1985-06-16,No,2,No,Yes,0,63,170,8,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.0075
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.06875
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.14
248,25,14,18,1978-02-16,No,2,No,No,1,86,165,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.14
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.14
289,36,13,32,1992-08-15,No,2,Yes,No,1,-,172,24,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.01875
