ID,Age,Transportation expense,Distance from Residence to Work,Service time,Years until retirement,Disciplinary failure,Number of children,Social drinker,Social smoker,Number of pets,Weight,Height,Absenteeism time in hours,Day of the week_Monday,Day of the week_Saturday,Day of the week_Thursday,Day of the week_Tuesday,Day of the week_Wednesday,Seasons_Spring,Seasons_Summer,Seasons_Winter,Education_High School,Education_Master’s or PhD,Education_Postgraduate,bmi_category_Obesity Class I,bmi_category_Obesity Class II,bmi_category_Overweight,Month_sin,Month_cos,Reason_for_abs_freq
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,4,False,False,False,True,False,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.04125
36,50,118,13,18.0,15.0,1,1,1,0,0,98.0,178,0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.05375
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,2,False,False,False,False,True,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
7,39,279,5,14.0,26.0,0,2,1,1,0,68.0,168,4,False,False,True,False,False,True,False,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.01875
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,2,False,False,True,False,False,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,2,False,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,8,False,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0475
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,40,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.05
1,37,235,11,14.0,28.0,0,1,0,0,1,88.0,172,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0475
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,True,False,False,False,False,False,True,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,False,True,False,False,False,False,True,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,False,False,False,False,True,False,True,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.0325
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,1,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0325
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,4,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
24,41,246,25,16.0,24.0,0,0,1,0,0,67.0,170,8,False,False,False,False,False,False,True,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.02375
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,2,False,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.26125
